sample_id	MEND	Gene	Expression	Type	Threshold	effective_length
TH03_0022_S01	19155446.695	AC108479.3	3.26903314646	Up	0	6.43
TH01_0069_S01	18836783.99	SCARNA16	3.65458829589	Up	1.51415014267	37.53
TH01_0069_S01	18836783.99	LL21NC02-1C16.2	4.44360665148	Up	1.53138589859	483.68
TH03_0004_S03	17986551.18	RPL13AP5	4.56132613645	Down	4.70746660233	451.96
TH03_0022_S01	19155446.695	RP1-178F15.5	4.12515513132	Up	3.74898314476	443.67
TH03_0004_S03	17986551.18	DNAAF1	4.65363331139	Up	3.47596597672	562.49
TH03_0148_S01	17333142.06	TRAV8-2	3.96624587322	Up	1.53994488716	442
TH03_0014_S01	18738948.915	LINC01336	3.25851892471	Up	0.687809228897	319.11
TH03_0014_S01	18738948.915	CTC-270D5.1	4.52418907845	Up	1.41422963142	391.69
TH03_0148_S01	17333142.06	NDUFC2-KCTD14	3.05137210172	Up	1.89281475544	526.59
TH01_0069_S01	18836783.99	COX6B1	3.72465027173	Down	6.90581607819	496.81
TH03_0014_S01	18738948.915	RP11-463D19.2	3.8196681835	Up	3.29532504082	594.32
TH03_0148_S01	17333142.06	CCL26	3.1456774552	Up	2.92549037933	402
TH01_0069_S01	18836783.99	NDUFA12	3.04439411936	Down	5.27161121368	460.94
TH03_0004_S03	17986551.18	ODAM	4.23266075679	Up	1.34038150311	517.12
TH01_0069_S01	18836783.99	KRTCAP2	4.35966172233	Down	6.2162976265	390.24
TH03_0148_S01	17333142.06	CTD-2540B15.7	3.01613970266	Up	0	358
TH01_0069_S01	18836783.99	TRAPPC5	3.74738739965	Down	4.5528793335	400.8
TH03_0148_S01	17333142.06	RP11-290F5.1	3.36317107712	Up	2.28254461288	552.94
TH03_0004_S03	17986551.18	RP4-710M16.2	3.22342254993	Up	0.535611569881	384.97
TH01_0069_S01	18836783.99	ATP5D	3.07038932789	Down	5.28402900696	480.76
TH03_0148_S01	17333142.06	RP11-304M2.5	4.44559429134	Up	0	450
TH03_0019_S01	16860989.6	LAMA5-AS1	3.04264433741	Up	1.38978660107	374.58
TH03_0022_S01	19155446.695	TGFBR3L	3.02502879449	Up	2.80939435959	542.89
TH03_0022_S01	19155446.695	RP11-400N13.3	3.87970576628	Up	1.7178337574	399.07
TH03_0022_S01	19155446.695	CTC-487M23.8	4.07895134139	Up	2.98982477188	501.96
TH01_0069_S01	18836783.99	LINC00493	4.15218341906	Down	4.94117116928	379.95
TH01_0069_S01	18836783.99	SEPW1	3.56559717585	Down	5.77434301376	597.5
TH03_0004_S03	17986551.18	MINOS1	4.73660487531	Down	5.08947324753	438.71
TH03_0022_S01	19155446.695	IFITM5	3.88557436437	Up	0.277918636799	573.04
TH03_0022_S01	19155446.695	RP11-337C18.10	3.0071955014	Up	2.97861433029	410.07
TH03_0148_S01	17333142.06	TRAV26-1	3.67129337248	Up	1.46266138554	413
